WELL ID,genotype,antibody,replicate,concentration,units,Cells,Single Cells,Single Cells2,SingleCells3,ACE2pos,APC_geomean,PE_geomean,bin1,bin2,bin3,bin4,mean_bin
A1,wildtype,CR3022,1,0,ng_per_mL,36.3,95.1,97.2,99.1,91.3,20.9,2900,90.1,9.24,0.51,0.12,1.10623187
A2,wildtype,CR3022,1,0.00512,ng_per_mL,37.6,95.4,96.8,98.7,93.5,58,3064,63.9,27.9,7.98,0.24,1.445710858
A3,wildtype,CR3022,1,0.0256,ng_per_mL,37.9,94.8,96.7,98.7,93.5,247,3146,30.4,35.6,25.8,8.47,2.123067717
A4,wildtype,CR3022,1,0.128,ng_per_mL,36.2,95.1,96.5,98.6,92.4,103,3064,49.8,32.3,16,2,1.702297702
A5,wildtype,CR3022,1,0.64,ng_per_mL,37.1,95.3,96.7,99,92.1,175,3104,37.7,34.4,22,6.13,1.965678938
A6,wildtype,CR3022,1,3.2,ng_per_mL,38.3,95.5,96.9,98.7,93.9,533,3209,15.1,36.1,29.7,19.5,2.533864542
A7,wildtype,CR3022,1,16,ng_per_mL,38.3,95.2,96.9,98.8,93.5,1357,3113,4.72,24.2,35.5,36.1,3.024472742
A8,wildtype,CR3022,1,80,ng_per_mL,37,94.6,97,98.9,92.6,3761,3047,0.55,9.11,31.6,59.2,3.487656779
A9,wildtype,CR3022,1,400,ng_per_mL,36.6,95.3,97.6,98.7,88,9085,2606,0.097,1.89,17.6,80.7,3.783910178
A10,wildtype,CR3022,1,2000,ng_per_mL,34.9,96.2,97.5,98.7,85.3,13479,2214,0,1.14,9.72,89.5,3.88043045
A11,wildtype,CR3022,1,10000,ng_per_mL,36.7,95.6,97.5,98.8,85.3,13947,2345,0.074,0.87,9.49,89.8,3.885747351
A12,wildtype,CR3022,1,NA,ng_per_mL,38.6,95.1,97.7,98.9,95.5,11.3,3475,99.3,0.62,0.039,0.026,1.007761164
B1,K417E,CR3022,1,0,ng_per_mL,39.5,95.2,97.2,98.9,95.1,38.8,2999,73.6,24.1,2.15,0.091,1.286899271
B2,K417E,CR3022,1,0.00512,ng_per_mL,34.8,95.3,97,99,94.3,71.3,2493,59.4,28.7,11.1,0.75,1.531765883
B3,K417E,CR3022,1,0.0256,ng_per_mL,33.6,95.9,97,98.9,94.2,201,2496,34.4,37.8,21.8,6.15,1.997004493
B4,K417E,CR3022,1,0.128,ng_per_mL,36.1,95.8,97,99,94.2,121,2579,47,32.6,18.1,2.46,1.760583067
B5,K417E,CR3022,1,0.64,ng_per_mL,35.4,95.4,97,99,93.1,209,2418,33.7,37,22.3,7.29,2.031708047
B6,K417E,CR3022,1,3.2,ng_per_mL,36.5,96,97.1,98.7,93.9,612,2657,12.4,37.1,29.2,21.6,2.598205384
B7,K417E,CR3022,1,16,ng_per_mL,38.7,95.7,97.1,99,93.9,1801,2883,2.47,21.1,35.2,41.6,3.155026402
B8,K417E,CR3022,1,80,ng_per_mL,37.6,95.9,96.9,99,92.9,5143,2671,0.096,4.25,30.3,66,3.611628877
B9,K417E,CR3022,1,400,ng_per_mL,33.8,95.3,96.7,98.8,90.1,13186,2164,0.036,0.14,8.92,91.2,3.907194704
B10,K417E,CR3022,1,2000,ng_per_mL,34.6,96.2,97.4,98.7,83.5,16653,1734,0.037,0.19,3.81,96.2,3.957091693
B11,K417E,CR3022,1,10000,ng_per_mL,33.6,96.6,96.9,99,82.9,16019,1641,0.038,0.076,3.69,96.3,3.9604811
B12,K417E,CR3022,1,NA,ng_per_mL,39.8,95.3,96.9,99.2,94.3,10.7,2746,99.4,0.59,0.012,0,1.006139877
C1,V382Y,CR3022,1,0,ng_per_mL,34.8,95.5,96.8,99,95.3,21.7,3047,86.1,11,2.3,0.52,1.17173739
C2,V382Y,CR3022,1,0.00512,ng_per_mL,32.1,95.7,96.7,98.7,92.2,23,2698,87,9.81,3.18,0,1.161716172
C3,V382Y,CR3022,1,0.0256,ng_per_mL,35.9,95.8,96.4,98.7,93,88.2,2965,56.7,27.3,13,3.16,1.626797125
C4,V382Y,CR3022,1,0.128,ng_per_mL,32.7,95,96.3,98.8,91.3,33.5,2595,79.8,13.8,6.01,0.33,1.268260957
C5,V382Y,CR3022,1,0.64,ng_per_mL,35.7,95.4,96.1,98.6,92.7,75.7,2927,60.7,24.3,11.5,3.61,1.580661273
C6,V382Y,CR3022,1,3.2,ng_per_mL,35.2,95.5,96.1,98.6,93,190,2863,36.7,39.3,14.1,10.1,1.976047904
C7,V382Y,CR3022,1,16,ng_per_mL,35.8,95.6,96,98.8,93.5,592,3073,12.8,40.7,26.4,20.3,2.540918164
C8,V382Y,CR3022,1,80,ng_per_mL,35.1,95.6,96.3,98.8,94.1,2010,2913,1.38,17.2,43.2,38.6,3.185694361
C9,V382Y,CR3022,1,400,ng_per_mL,35.4,95.3,96.3,98.7,92.2,5322,2776,0.25,3.42,29.8,67,3.627849109
C10,V382Y,CR3022,1,2000,ng_per_mL,34.1,96,96.8,99,91,8202,2390,0.039,1.19,18.1,81.3,3.795317453
C11,V382Y,CR3022,1,10000,ng_per_mL,35.1,95.9,96.6,98.9,89,9254,2362,0.039,1.03,15.9,83.5,3.820073854
C12,V382Y,CR3022,1,NA,ng_per_mL,35.5,95.3,96.2,98.8,94.3,16.7,3084,92.5,6.34,1.14,0.036,1.087266037
D1,wildtype,COV2-2082,1,0,ng_per_mL,36.1,95.2,96.8,99,96.4,19.5,3543,89.6,10.4,0,0,1.104
D2,wildtype,COV2-2082,1,0.00512,ng_per_mL,37.1,95.3,96.3,98.7,96.6,55.6,3525,60.6,39.1,0.28,0,1.396679336
D3,wildtype,COV2-2082,1,0.0256,ng_per_mL,35.8,95.6,96.3,98.9,96.5,92.1,3404,46.9,50.4,2.75,0,1.55872064
D4,wildtype,COV2-2082,1,0.128,ng_per_mL,35.5,95.7,96.1,98.4,96.4,293,3500,21,63.5,15.5,0.012,1.94524657
D5,wildtype,COV2-2082,1,0.64,ng_per_mL,37,95.5,96.6,98.7,96.2,746,3447,5.59,63.1,31.3,0.023,2.257526522
D6,wildtype,COV2-2082,1,3.2,ng_per_mL,35.2,95.6,96.1,98.7,96.2,725,3340,8.35,59.7,31.6,0.29,2.238443066
D7,wildtype,COV2-2082,1,16,ng_per_mL,36.3,95.1,96.4,98.8,96.1,1682,3494,2.92,44.1,48.2,4.84,2.549270438
D8,wildtype,COV2-2082,1,80,ng_per_mL,35.9,95.3,96.5,98.9,96,4595,3298,0.24,23,62.9,13.8,2.903141885
D9,wildtype,COV2-2082,1,400,ng_per_mL,33.6,95.6,96.5,98.7,93.4,12061,2503,0,5.43,64.8,29.8,3.243626912
D10,wildtype,COV2-2082,1,2000,ng_per_mL,32.6,95.2,96.9,98.8,77,24840,1340,0,0.39,52,47.6,3.472147215
D11,wildtype,COV2-2082,1,10000,ng_per_mL,33.2,95.7,96.9,98.8,14.7,91109,648,0,0.29,9.98,89.7,3.89436831
D12,wildtype,COV2-2082,1,NA,ng_per_mL,39.1,95.3,97,99,95.2,12.2,3527,97.2,2.73,0.023,0,1.027773053
E1,K378N,COV2-2082,1,0,ng_per_mL,34.9,94.9,96.1,99,93.6,10.8,2680,98.9,1.1,0,0,1.011
E2,K378N,COV2-2082,1,0.00512,ng_per_mL,30.9,94.5,95.4,98.7,91.5,11.1,2260,98.5,1.52,0,0,1.015196961
E3,K378N,COV2-2082,1,0.0256,ng_per_mL,35.3,94.6,95.4,98.8,93,11,2617,98.7,1.26,0,0,1.012605042
E4,K378N,COV2-2082,1,0.128,ng_per_mL,34,94.7,94.8,99,91.8,11.2,2481,98.5,1.48,0,0,1.014802961
E5,K378N,COV2-2082,1,0.64,ng_per_mL,34.4,95.1,95,99,92.7,11.3,2678,98.6,1.4,0,0,1.014
E6,K378N,COV2-2082,1,3.2,ng_per_mL,33.9,94.7,95,98.9,91.5,11.7,2647,98.3,1.74,0,0,1.017393043
E7,K378N,COV2-2082,1,16,ng_per_mL,34.2,94.4,95.1,99.1,91.8,12.7,2651,97.6,2.37,0.026,0,1.024220969
E8,K378N,COV2-2082,1,80,ng_per_mL,33.8,94.5,95.1,98.7,90.9,14.2,2598,96.9,3.08,0,0,1.030806161
E9,K378N,COV2-2082,1,400,ng_per_mL,33.2,95.1,95.2,98.9,92.1,21.7,2517,91.7,8.25,0.038,0,1.083269992
E10,K378N,COV2-2082,1,2000,ng_per_mL,33.6,94.2,95.3,98.7,93.3,65.5,2568,58.2,41.6,0.24,0,1.420631747
E11,K378N,COV2-2082,1,10000,ng_per_mL,34.6,94.7,95.4,98.9,92.1,216,2797,15.2,83.1,1.68,0.026,1.86532808
E12,K378N,COV2-2082,1,NA,ng_per_mL,33.7,94.3,95.3,99,91.6,11,2805,98.7,1.26,0.014,0,1.01288335
F1,V382Y,COV2-2082,1,0,ng_per_mL,34.8,94.6,95.2,98.9,94.1,25.2,3003,82.1,17.7,0.18,0,1.180636127
F2,V382Y,COV2-2082,1,0.00512,ng_per_mL,33.9,94.7,95.4,98.8,93.5,116,2811,44.4,47.9,7.43,0.22,1.634517259
F3,V382Y,COV2-2082,1,0.0256,ng_per_mL,33.6,94.2,95.5,98.7,93.3,134,2754,37.8,55.7,6.47,0,1.686605982
F4,V382Y,COV2-2082,1,0.128,ng_per_mL,32.6,94.4,95.5,98.7,94.5,104,2872,43.4,51.9,4.67,0,1.612583775
F5,V382Y,COV2-2082,1,0.64,ng_per_mL,33,94.6,94.6,98.6,93.4,146,2873,36.3,55.8,7.96,0,1.716769938
F6,V382Y,COV2-2082,1,3.2,ng_per_mL,32.7,95,94.7,98.8,94.5,460,2834,13.8,63.5,22.7,0,2.089
F7,V382Y,COV2-2082,1,16,ng_per_mL,32.9,94.8,95.1,99,93.7,735,2761,8.79,59.3,31.4,0.52,2.236476352
F8,V382Y,COV2-2082,1,80,ng_per_mL,33.6,94.5,95.5,98.7,93.9,2669,2691,0.89,34.8,56,8.36,2.717941029
