concentration,fraction infectivity,serum,virus,replicate
10000,3.15E-05,COV2-2165,wildtype,1
1000,0.004628028,COV2-2165,wildtype,1
100,0.412129016,COV2-2165,wildtype,1
10,0.941775686,COV2-2165,wildtype,1
1,1.059107406,COV2-2165,wildtype,1
0.1,1.070424736,COV2-2165,wildtype,1
0.01,0.904692931,COV2-2165,wildtype,1
10000,3.15E-05,COV2-2165,wildtype,2
1000,0.002137034,COV2-2165,wildtype,2
100,0.304749377,COV2-2165,wildtype,2
10,0.92809619,COV2-2165,wildtype,2
1,0.993758814,COV2-2165,wildtype,2
0.1,1.042082313,COV2-2165,wildtype,2
0.01,1.055292196,COV2-2165,wildtype,2
10000,3.60E-05,COV2-2832,wildtype,1
1000,4.72E-05,COV2-2832,wildtype,1
100,0.015093831,COV2-2832,wildtype,1
10,0.614683894,COV2-2832,wildtype,1
1,0.983440615,COV2-2832,wildtype,1
0.1,1.031637397,COV2-2832,wildtype,1
0.01,0.997813083,COV2-2832,wildtype,1
10000,4.20E-05,COV2-2832,wildtype,2
1000,4.57E-05,COV2-2832,wildtype,2
100,0.003157816,COV2-2832,wildtype,2
10,0.435963411,COV2-2832,wildtype,2
1,0.966958613,COV2-2832,wildtype,2
0.1,1.018303879,COV2-2832,wildtype,2
0.01,0.988518688,COV2-2832,wildtype,2
10000,0.001404211,COV2-2479,wildtype,1
1000,4.28E-05,COV2-2479,wildtype,1
100,0.017966595,COV2-2479,wildtype,1
10,0.95726009,COV2-2479,wildtype,1
1,0.955865302,COV2-2479,wildtype,1
0.1,1.095501727,COV2-2479,wildtype,1
0.01,1.011403578,COV2-2479,wildtype,1
10000,3.75E-05,COV2-2479,wildtype,2
1000,4.28E-05,COV2-2479,wildtype,2
100,0.002890841,COV2-2479,wildtype,2
10,1.054935887,COV2-2479,wildtype,2
1,0.996530542,COV2-2479,wildtype,2
0.1,1.103034409,COV2-2479,wildtype,2
0.01,1.069753311,COV2-2479,wildtype,2
10000,4.50E-05,COV2-2082,wildtype,1
1000,3.39E-05,COV2-2082,wildtype,1
100,0.433570459,COV2-2082,wildtype,1
10,0.925373403,COV2-2082,wildtype,1
1,0.989308954,COV2-2082,wildtype,1
0.1,1.005022882,COV2-2082,wildtype,1
0.01,1.013025628,COV2-2082,wildtype,1
10000,3.60E-05,COV2-2082,wildtype,2
1000,5.46E-05,COV2-2082,wildtype,2
100,0.428336633,COV2-2082,wildtype,2
10,0.9367582,COV2-2082,wildtype,2
1,1.012365339,COV2-2082,wildtype,2
0.1,0.979298582,COV2-2082,wildtype,2
0.01,1.093683724,COV2-2082,wildtype,2
